planes,sats_per_plane,inclination_deg,phase_factor,raan0_deg,phase0_deg,total_satellites,screen_score,min_multiplicity,spacetime_single_ratio,min_point_single_availability,spacetime_double_ratio,min_point_double_availability,max_gap_s,worst_time_index,worst_time_single_ratio,average_multiplicity,min_margin_deg,evaluation
30,38,58.0,15,0.0,0.0,1140,1.1244072916666665,0,0.933312200991375,0.7986111111111112,0.5845951098130026,0.25,1800.0,140,0.8889120637836507,1.7631377051398769,-4.36446872665254,coarse_3deg_600s
34,37,52.0,33,0.0,0.0,1258,1.1746595833333333,0,0.9728090462669784,0.7986111111111112,0.7661479042851982,0.4097222222222222,600.0,74,0.954320840859048,2.3197714988581293,-4.36446872665254,coarse_3deg_600s
35,36,52.0,26,0.0,0.0,1260,1.1707333333333334,0,0.9726220677038173,0.7986111111111112,0.769942774706911,0.4722222222222222,1800.0,68,0.9536688212719782,2.3224304982450215,-4.36446872665254,coarse_3deg_600s
28,45,55.0,7,0.0,0.0,1260,1.1613583333333333,0,0.9666541465908658,0.7986111111111112,0.7202529749321989,0.4097222222222222,1200.0,134,0.9545643391643411,2.2202931252430207,-4.36446872665254,coarse_3deg_600s
30,42,58.0,1,0.0,0.0,1260,1.1528947916666668,0,0.9568718661914253,0.7986111111111112,0.6948452699080502,0.3680555555555556,1200.0,100,0.9124782497962115,1.9493246887234277,-4.36446872665254,coarse_3deg_600s
28,43,55.0,27,0.0,0.0,1204,1.1518922916666665,0,0.9620562566453023,0.7916666666666666,0.6840725262168942,0.3333333333333333,1800.0,143,0.9287083386860668,2.1202167548560444,-4.36446872665254,coarse_3deg_600s
35,36,52.0,1,0.0,0.0,1260,1.1712541666666667,0,0.9718939586391406,0.7916666666666666,0.7572164065909696,0.4513888888888889,600.0,54,0.9479709853255257,2.3230017522319333,-4.36446872665254,coarse_3deg_600s
28,45,55.0,27,0.0,0.0,1260,1.1629208333333334,0,0.9660419532191938,0.7916666666666666,0.717662754640142,0.3958333333333333,1800.0,17,0.9477593669161228,2.219285907593295,-4.36446872665254,coarse_3deg_600s
42,30,55.0,41,0.0,0.0,1260,1.1577125000000001,0,0.9517712090861536,0.7916666666666666,0.7284292410777433,0.4166666666666667,1800.0,8,0.878597145312385,2.2181199350054595,-4.36446872665254,coarse_3deg_600s
41,31,55.0,10,0.0,0.0,1271,1.1643733333333333,0,0.9581216946522174,0.7916666666666666,0.6882816053097957,0.3958333333333333,3000.0,138,0.9429011233577227,2.2381634789889553,-4.36446872665254,coarse_3deg_600s
30,39,58.0,22,0.0,0.0,1170,1.1402531249999999,0,0.9459718957302145,0.7847222222222222,0.6312877197784823,0.2986111111111111,1800.0,70,0.9258767344250134,1.8101475270066496,-4.36446872665254,coarse_3deg_600s
