latitude_deg,longitude_deg,single_time_availability,single_double_availability,double_time_availability,double_double_availability
5.0,119.0,1.0,0.9972183588317107,1.0,0.9986091794158554
5.0,120.0,1.0,0.9986091794158554,1.0,0.9986091794158554
5.0,121.0,1.0,0.9986091794158554,1.0,0.9972183588317107
5.0,122.0,1.0,0.9972183588317107,1.0,0.9958275382475661
5.0,123.0,1.0,0.9958275382475661,1.0,0.9972183588317107
5.0,124.0,1.0,0.9958275382475661,1.0,0.9972183588317107
5.0,125.0,1.0,0.9958275382475661,1.0,0.9958275382475661
5.0,126.0,1.0,0.9958275382475661,1.0,0.9958275382475661
5.0,127.0,1.0,0.9958275382475661,1.0,0.9958275382475661
5.0,128.0,1.0,0.9958275382475661,1.0,0.9972183588317107
5.0,129.0,1.0,0.9972183588317107,1.0,0.9986091794158554
5.0,130.0,1.0,1.0,1.0,0.9986091794158554
5.0,131.0,1.0,0.9986091794158554,1.0,0.9986091794158554
5.0,132.0,1.0,0.9986091794158554,1.0,0.9986091794158554
5.0,133.0,1.0,1.0,1.0,1.0
5.0,134.0,1.0,1.0,1.0,1.0
5.0,135.0,1.0,1.0,1.0,1.0
6.0,73.0,1.0,0.9972183588317107,1.0,0.9958275382475661
6.0,74.0,1.0,0.9986091794158554,1.0,0.9958275382475661
6.0,75.0,1.0,0.9986091794158554,1.0,0.9972183588317107
6.0,76.0,1.0,1.0,1.0,0.9986091794158554
6.0,77.0,1.0,1.0,1.0,1.0
6.0,78.0,1.0,0.9986091794158554,1.0,1.0
6.0,79.0,1.0,0.9972183588317107,1.0,0.9972183588317107
6.0,80.0,1.0,0.9972183588317107,1.0,0.9986091794158554
6.0,81.0,1.0,0.9986091794158554,1.0,1.0
6.0,82.0,1.0,1.0,1.0,1.0
6.0,83.0,1.0,1.0,1.0,1.0
6.0,84.0,1.0,0.9986091794158554,1.0,0.9986091794158554
6.0,85.0,1.0,0.9958275382475661,1.0,0.9972183588317107
6.0,86.0,1.0,0.9944367176634215,1.0,0.9958275382475661
6.0,87.0,1.0,0.9958275382475661,1.0,0.9972183588317107
6.0,88.0,1.0,0.9986091794158554,1.0,1.0
